file,stepLimit,time,tests,outcome,steps,jumps
20060313-22:39:42-644d210e9d66cf006f61c64435b0efb3.seminal.ml,500,0.38313794136047363,7,U,24,5
20060313-23:03:58-c9d9c96a5c92d44ea888b2bf8287ed92.seminal.ml,500,3.5384209156036377,31,U,191,35
20060316-15:04:22-646d45fc661ea972e495854dafda19d7.seminal.ml,500,4.8902034759521484e-3,1,U,5,2
20060316-17:28:56-cb82b8e194910fe2ced3aab54f0a7577.seminal.ml,500,0.21796798706054688,11,U,18,5
20060316-17:48:30-214ae1ff72fdc57fe9fcb9d441c5126a.seminal.ml,500,1.971888542175293e-2,2,U,22,6
20060316-18:23:48-78d82e8a55cd9a83edca023c74a4cc32.seminal.ml,500,2.955214023590088,34,U,5,2
20060316-18:34:06-d422060219a7891f487cd20b421acb81.seminal.ml,500,2.928304672241211e-2,4,U,39,10
20060316-18:53:54-be762b624eb6b35410f5e00547f2a579.seminal.ml,500,5.0035953521728516e-2,2,U,48,10
20060316-19:34:40-21991f746ce1d63c2b7ecd57ca2fccea.seminal.ml,500,0.17668986320495605,1,U,47,11
20060316-23:07:58-2378bc775661a7c89604be96966c4259.seminal.ml,500,6.121158599853516e-3,1,U,14,2
20060316-23:15:56-8740564a90852da99c1d1bd7bef8897e.seminal.ml,500,0.15288496017456055,7,B,14,3
20060316-23:16:56-c5c2fe4b8bf744437e4adaf36529464b.seminal.ml,500,0.3587830066680908,12,B,20,4
20060317-20:59:10-62548773f8854de2f4ec54a035814283.seminal.ml,500,0.3823521137237549,4,U,57,11
20060317-20:59:44-36ef05a00938aacce23d0d13a4c3a945.seminal.ml,500,6.73971176147461e-2,3,U,32,7
20060317-21:37:11-096a01551f7cdd335b3d20437b761729.seminal.ml,500,1.0632038116455078e-2,1,U,12,3
20060317-22:27:21-c75f0b5055a771be100553afb174be0d.seminal.ml,500,1.727294921875e-2,1,U,13,4
20060317-22:27:40-749212b202dba76c8efe1df72c2fa36c.seminal.ml,500,7.562088966369629e-2,2,U,25,6
20060319-13:25:22-d82ce217b923933f541e5e4c291912ff.seminal.ml,500,3.0519962310791016e-3,1,U,2,1
20060319-13:26:52-dfb16e91c8f77833a400015941114cd0.seminal.ml,500,2.3192167282104492e-2,3,U,39,11
20060319-13:43:18-06b44c2851b0cf81bcb54bfa7f1abe36.seminal.ml,500,6.472110748291016e-3,1,U,13,4
20060319-14:09:00-2446404578b9f18bfa9723208c094098.seminal.ml,500,1.3813018798828125e-2,3,U,27,8
20060319-14:52:14-bd3d537e5d622471db44fef57470b962.seminal.ml,500,0.2573230266571045,8,U,94,19
20060319-15:07:50-8f39f32b5a36e11a9464ad6fec165b06.seminal.ml,500,3.0943870544433594e-2,4,U,25,7
20060319-18:31:02-58a2a6ce864ad7931326ad63f6ecd7dc.seminal.ml,500,1.0612010955810547e-3,1,U,2,1
20060319-18:48:20-a64278e668714e05e9749ccd7ca65773.seminal.ml,500,2.916097640991211e-3,1,U,1,1
20060319-18:49:00-0ea44925eea84a1e4d0c6ce516154075.seminal.ml,500,9.628057479858398e-3,1,U,2,1
20060319-19:23:28-3cc736accbce3e21a783db2d0f187c96.seminal.ml,500,0.13999700546264648,10,U,33,7
20060319-19:25:12-f00bf018aea70324f68ac0ba0f808cae.seminal.ml,500,17.259867906570435,1000,S,0,0
20060319-19:42:18-5f0bde7ab1d576545f4d89f88dab34e9.seminal.ml,500,23.071234941482544,1000,S,0,0
20060319-19:49:56-1687e8b7d88c855ff1225445c6cbd4e3.seminal.ml,500,13.20842695236206,1000,S,0,0
20060319-20:05:30-6fc146372dae315728baa58e4bee26df.seminal.ml,500,6.967597961425781,1000,S,0,0
20060319-20:09:28-2e71af609448d8c60fd4e0273e9ff9bd.seminal.ml,500,1.6692161560058594e-2,1,U,14,4
20060319-20:12:50-9e05cf3ce7d3e32b370b305e43ceb96e.seminal.ml,500,0.2270050048828125,12,U,22,6
20060319-20:22:42-d63e90715d3fa73c6f01d82b97c2c2b9.seminal.ml,500,0.11919593811035156,5,U,21,5
20060319-20:25:40-ab4845a572308a5afc057b8957487498.seminal.ml,500,6.334590911865234e-2,2,U,40,6
20060319-20:31:44-c7d3dae870ff326c6e2fd8bf9e61eaac.seminal.ml,1000,13.292601108551025,1,U,4,1
20060319-20:33:22-bcfa231f83876c0dc43b07ef583566dd.seminal.ml,500,0.7149200439453125,7,U,119,14
20060319-20:50:52-35197c77367f54669cee073b06fe3d9f.seminal.ml,500,6.612491607666016e-2,4,U,14,4
20060319-20:54:18-c6f1941f5de39e516e26f06cc990b9ca.seminal.ml,1000,15.530371904373169,1,U,1,1
20060319-21:34:00-e26e787a429e0f90295aee0f257622a1.seminal.ml,500,0.21895289421081543,6,U,64,13
20060319-22:34:04-69a3d06e7473a44a841727a7bc995e4d.seminal.ml,500,1.3360977172851563e-3,1,U,3,1
20060320-21:58:04-f7044a0bdc8cde607fca13b12e891e22.seminal.ml,500,1.0793924331665039e-2,1,U,6,1
20060320-22:38:06-708bc29e217c4928054fc822a3c96238.seminal.ml,500,0.47481298446655273,8,U,83,11
20060321-14:46:28-05145270d2aab43fd3bd842cc07baf1c.seminal.ml,500,1.4635086059570313e-2,3,U,20,5
20060321-14:59:04-b1275c5a9b0b11add3e4dd1a9b0bf13c.seminal.ml,500,1.538395881652832e-2,1,U,15,5
20060321-15:25:48-2255f168a336d2981038c536d51364a3.seminal.ml,500,3.5901784896850586e-2,4,U,26,7
20060321-15:34:36-8c2ed57505ebdb3c66f90b66ae3e8b87.seminal.ml,500,1.2395858764648438e-2,1,U,18,5
20060321-16:03:46-b0d9a3963e06527effc0d63025a8d667.seminal.ml,500,9.52291488647461e-3,1,U,11,4
20060321-16:05:32-9fac1c5709dc4756677dea761359bb07.seminal.ml,500,3.929853439331055e-3,1,U,3,1
20060321-17:27:50-28fab13e4dbcd9ee742bdff83acf1462.seminal.ml,500,10.219053030014038,1000,S,0,0
20060321-17:38:52-5224914e10b7b5eacd09bb21ab53a674.seminal.ml,500,14.506999015808105,1000,S,0,0
20060321-17:40:30-9d28fd9356cc4ade9bdd5c09496600fa.seminal.ml,500,0.30138397216796875,7,U,46,7
20060321-17:41:14-5ad417e97b8ab19fbfb89db95c99c846.seminal.ml,1000,60.007511138916016,1,T,0,0
20060321-17:57:34-7409001b9d9b81b4015c0221ea72118a.seminal.ml,500,1.229095458984375e-2,1,U,5,2
20060321-18:07:56-3c4adbec38600fff622eabc0dbcae305.seminal.ml,500,8.437871932983398e-3,1,U,2,1
20060321-19:13:54-3266bbae2ef5c3a941538a6481a5e5d5.seminal.ml,500,2.375809907913208,9,D,0,0
20060321-20:20:44-5df57b343df5a403116c396481a3d568.seminal.ml,500,1.8270015716552734e-3,1,U,1,1
20060321-21:07:58-0ebbcafc7586fac16a56ba7b103f69f7.seminal.ml,500,1.3918876647949219e-3,1,U,1,1
20060321-21:29:28-0b780c5b4ffcfe2968cb8e73cefa3897.seminal.ml,500,1.0571479797363281e-3,1,U,1,1
20060321-21:38:22-dde7db6405ce5ba9ae626405e061c4a3.seminal.ml,500,7.683491706848145e-2,3,U,19,3
20060321-22:08:35-80305c5562a7971b78c8db75d01d0fd0.seminal.ml,500,0.13823604583740234,5,D,0,0
20060322-00:21:12-0ccd603b43d0ef97d3e539c3f0925073.seminal.ml,500,0.6375570297241211,7,U,30,6
20060322-00:47:36-635d92e5e80fdb07be8405858041dcbd.seminal.ml,500,0.10190510749816895,1,U,8,3
20060322-02:34:06-a881a82dd5534a442bf71f2fcd057d33.seminal.ml,1500,0.3168141841888428,3,U,68,6
20060322-08:30:28-3f81c07149bfccbd0e3179bdf8a9aadd.seminal.ml,500,9.920597076416016e-4,1,U,3,1
20060322-13:34:44-8717549412aa814d6b0771c1f94c17fb.seminal.ml,500,3.6530494689941406e-3,1,U,2,2
20060322-13:40:08-aefea9de8bb3118803308ceeadaec76e.seminal.ml,500,9.398221969604492e-3,1,U,12,4
20060322-14:52:42-79d266181ace652898dfea63f34d1e95.seminal.ml,500,4.319405555725098e-2,3,U,13,3
20060322-15:04:54-ac4a1848657627cfd6df53804ad2c8f5.seminal.ml,500,0.7638959884643555,16,U,55,5
20060322-15:33:54-702b0150ab82b8d3fe04d50824f66378.seminal.ml,500,1.7288923263549805e-2,1,B,9,2
20060322-15:37:15-a3b57f848696e7fb4e0c7b52ec319871.seminal.ml,500,9.52451229095459e-2,2,U,27,4
20060322-15:37:30-cccd2d578960e5ca742dca45d4bd04e4.seminal.ml,500,0.11374187469482422,6,U,25,4
20060322-15:37:56-7674fa2cf2a648a9e414034e5ffccee5.seminal.ml,500,0.20086002349853516,5,U,28,4
20060322-16:31:04-5b9363ed9af2fc88ae57b56a5baca160.seminal.ml,500,0.1661210060119629,9,U,24,7
20060322-16:38:10-626e570c3d6f0bf644688095ee05e7aa.seminal.ml,500,15.072824001312256,1000,S,0,0
20060322-16:59:16-2aaeed2af3e729eac5c7ce6df6aa8bab.seminal.ml,500,17.554903984069824,1000,S,0,0
20060322-19:48:26-8031f6467e8fc7179ce5fd1072500ce0.seminal.ml,500,3.484964370727539e-3,1,U,5,2
20060322-20:07:20-8a106f89f15ecfb4570c9918256c0e5a.seminal.ml,500,3.419089317321777e-2,3,U,16,5
20060322-20:08:36-a8f43066cc9b2fd09808dd2eb10c07f9.seminal.ml,500,7.150506973266602e-2,5,U,35,5
20060322-20:42:10-898d93a908e3393e99cf3e0027384a19.seminal.ml,500,0.43614697456359863,8,U,18,3
