file,stepLimit,time,tests,outcome,steps,jumps
prog4088.ml,500,1.5725071430206299,1000,S,0,0
prog4089.ml,500,1.0504779815673828,1000,S,0,0
prog4090.ml,500,4.341840744018555e-3,4,U,14,4
prog4091.ml,500,4.848003387451172e-3,6,U,7,3
prog4092.ml,500,8.341073989868164e-3,3,U,23,6
prog4093.ml,500,7.160186767578125e-3,2,U,23,6
prog4094.ml,500,7.870912551879883e-3,4,U,23,6
prog4095.ml,500,1.5980005264282227e-2,3,U,32,8
prog4096.ml,500,1.4285802841186523e-2,3,U,32,8
prog4097.ml,500,0.3341958522796631,7,U,115,26
prog4098.ml,500,4.055023193359375e-3,2,U,12,3
prog4099.ml,500,3.1681060791015625e-3,3,U,8,3
prog4100.ml,500,8.649826049804688e-4,1,U,1,1
prog4101.ml,500,1.5749931335449219e-3,1,U,7,2
prog4102.ml,500,1.7390251159667969e-3,1,U,7,2
prog4103.ml,500,9.948015213012695e-3,3,U,10,3
prog4104.ml,500,6.5460205078125e-3,2,U,11,3
prog4105.ml,500,8.60905647277832e-3,3,U,10,3
prog4108.ml,500,1.4345884323120117e-2,3,U,27,6
prog4110.ml,500,1.5486955642700195e-2,3,U,22,4
prog4111.ml,500,1.0480880737304688e-3,1,U,6,2
prog4112.ml,500,1.0080337524414063e-3,1,U,6,2
prog4113.ml,500,4.506111145019531e-3,1,U,17,5
prog4114.ml,500,5.984067916870117e-3,1,U,17,5
prog4115.ml,500,1.2602806091308594e-2,4,D,0,0
prog4116.ml,500,4.622220993041992e-3,1,U,14,4
prog4117.ml,500,1.2469291687011719e-3,1,U,5,3
prog4118.ml,500,4.033803939819336e-3,1,U,13,4
prog4119.ml,500,3.2851696014404297e-3,1,U,13,4
prog4120.ml,500,1.2479610443115234,1000,S,0,0
prog4121.ml,500,5.9771060943603516e-2,62,D,0,0
prog4125.ml,500,3.60107421875e-3,2,U,6,2
prog4126.ml,500,4.5719146728515625e-3,3,U,6,2
prog4127.ml,500,3.4918785095214844e-3,2,U,6,2
prog4130.ml,500,1.4007091522216797e-2,4,D,0,0
prog4132.ml,500,3.4220218658447266e-3,2,U,8,3
prog4133.ml,500,7.038116455078125e-3,1,U,11,6
prog4134.ml,500,3.665924072265625e-3,4,U,9,3
prog4135.ml,500,2.202606201171875e-2,1,U,29,7
prog4138.ml,500,3.0658960342407227e-2,3,H,22,6
prog4139.ml,500,4.793095588684082e-2,7,H,22,6
prog4140.ml,500,2.2915124893188477e-2,2,D,0,0
prog4141.ml,500,6.875896453857422e-2,3,D,0,0
prog4142.ml,500,3.530383110046387e-2,3,D,0,0
prog4144.ml,2000,24.776298999786377,14,U,72,16
prog4145.ml,500,0.3564589023590088,5,U,50,14
prog4147.ml,500,0.25469279289245605,3,U,21,7
