file,stepLimit,time,tests,outcome,steps,jumps
prog0117.ml,500,3.3402442932128906e-4,1,U,3,1
prog0118.ml,500,2.288818359375e-4,1,U,1,1
prog0119.ml,500,3.349781036376953e-4,1,U,1,1
prog0120.ml,500,2.970695495605469e-4,1,U,1,1
prog0121.ml,500,4.410743713378906e-4,1,U,1,1
prog0122.ml,500,1.0139942169189453e-3,1,U,2,1
prog0123.ml,500,5.691051483154297e-4,1,U,2,1
prog0124.ml,500,7.5800418853759766e-3,1,U,6,1
prog0125.ml,500,5.991458892822266e-4,1,U,1,1
prog0126.ml,500,5.259513854980469e-4,1,U,1,1
prog0127.ml,500,5.590915679931641e-4,1,U,1,1
prog0128.ml,500,5.433797836303711e-3,1,U,6,2
prog0129.ml,500,6.1109066009521484e-3,1,U,15,4
prog0130.ml,500,1.1868476867675781e-3,1,U,1,1
prog0131.ml,500,7.960796356201172e-4,1,B,3,1
prog0132.ml,500,1.6961097717285156e-3,1,B,4,2
prog0133.ml,500,4.258155822753906e-3,1,B,18,5
prog0134.ml,500,5.258679389953613e-2,2,U,29,7
prog0135.ml,500,1.9926071166992188e-2,1,U,18,5
prog0136.ml,500,9.150505065917969e-4,1,U,6,2
prog0137.ml,500,1.3659000396728516e-3,1,U,1,1
prog0138.ml,500,1.5110969543457031e-3,1,U,2,1
prog0139.ml,500,1.8308162689208984e-3,1,U,6,2
prog0140.ml,500,2.1791458129882813e-3,1,U,6,2
prog0141.ml,500,1.703023910522461e-3,1,U,6,2
prog0142.ml,500,1.085042953491211e-3,1,U,1,1
prog0143.ml,500,1.6460418701171875e-3,1,U,4,3
prog0144.ml,500,1.8880367279052734e-3,1,U,4,3
prog0145.ml,500,1.5439987182617188e-3,1,U,4,3
prog0146.ml,500,1.4891624450683594e-3,1,U,3,3
prog0147.ml,500,5.5262088775634766e-2,1,S,0,0
prog0148.ml,500,6.0884952545166016e-2,1,S,0,0
prog0149.ml,500,4.790306091308594e-2,1,S,0,0
prog0150.ml,500,6.257820129394531e-2,1,S,0,0
prog0151.ml,500,8.933901786804199e-2,1,D,0,0
prog0152.ml,1000,8.893013000488281e-3,3,U,12,3
prog0153.ml,500,3.1768083572387695e-2,4,U,31,9
prog0154.ml,500,2.3632049560546875e-2,4,U,12,4
prog0155.ml,500,2.0151138305664063e-2,2,U,18,4
prog0156.ml,500,60.05526685714722,1,T,0,0
prog0157.ml,500,60.05440902709961,1,T,0,0
prog0158.ml,500,7.6220035552978516e-3,3,U,7,2
prog0159.ml,500,6.989955902099609e-3,3,U,15,3
prog0160.ml,500,1.1577129364013672e-2,2,U,21,5
prog0161.ml,500,4.0400028228759766e-3,1,U,10,2
prog0162.ml,500,3.319978713989258e-3,1,U,8,2
prog0163.ml,500,2.3448944091796875e-2,5,U,21,5
prog0164.ml,500,3.8372039794921875e-2,12,U,11,3
prog0165.ml,500,4.4519901275634766e-3,1,U,8,2
prog0166.ml,500,2.8591156005859375e-3,1,U,5,2
prog0167.ml,500,7.3528289794921875e-3,2,U,10,3
prog0168.ml,500,1.6270160675048828e-2,4,U,10,3
prog0169.ml,500,2.3620128631591797e-3,1,U,4,2
prog0170.ml,500,1.0722875595092773e-2,3,U,7,2
prog0171.ml,500,5.765953063964844,1000,S,0,0
prog0172.ml,500,1.2720108032226563e-2,2,U,12,3
prog0173.ml,500,1.0478019714355469e-2,2,U,12,3
prog0174.ml,500,7.0230960845947266e-3,1,U,11,3
prog0175.ml,500,1.3031005859375e-2,1,U,11,3
prog0178.ml,500,9.465932846069336e-3,1,U,11,3
prog0179.ml,500,2.952098846435547e-3,1,B,3,1
prog0180.ml,500,1.216888427734375e-3,1,B,1,1
prog0181.ml,500,5.424022674560547e-3,1,U,8,4
prog0182.ml,500,1.8112897872924805e-2,1,S,0,0
prog0183.ml,500,3.985881805419922e-3,1,B,4,2
prog0184.ml,500,1.5267133712768555e-2,1,B,4,2
prog0185.ml,500,4.089832305908203e-3,1,B,4,2
prog0186.ml,500,5.1767826080322266e-3,1,B,4,2
prog0187.ml,500,5.742073059082031e-3,1,B,4,2
prog0189.ml,500,5.167961120605469e-3,1,B,4,2
prog0190.ml,500,4.678964614868164e-3,1,B,4,2
prog0191.ml,500,2.902984619140625e-3,1,B,4,2
prog0192.ml,500,5.034923553466797e-3,1,B,4,2
prog0193.ml,500,4.82487678527832e-3,1,B,4,2
prog0194.ml,500,2.0340919494628906e-2,1,U,15,3
prog0195.ml,500,5.057787895202637e-2,2,U,19,4
prog0196.ml,500,0.13538002967834473,3,U,39,4
prog0197.ml,500,0.6655101776123047,4,U,96,19
prog0198.ml,500,0.4639880657196045,4,U,96,19
prog0199.ml,500,0.127532958984375,3,U,67,15
prog0200.ml,500,0.5650010108947754,5,U,170,43
prog0201.ml,500,0.17361211776733398,4,U,109,27
prog0202.ml,500,6.894993782043457e-2,3,U,33,6
prog0203.ml,500,6.116890907287598e-2,3,U,49,14
prog0204.ml,500,1.27410888671875e-2,1,U,14,3
prog0205.ml,500,0.12839603424072266,8,U,16,4
prog0206.ml,500,0.39360809326171875,6,U,29,6
prog0207.ml,500,2.1699905395507813e-2,1,U,22,5
prog0208.ml,500,3.9501190185546875e-2,2,U,26,5
prog0209.ml,500,0.18079900741577148,1,U,144,34
prog0210.ml,500,0.1524808406829834,1,U,119,28
prog0211.ml,500,7.50889778137207e-2,4,U,32,5
prog0212.ml,500,1.6583919525146484e-2,1,U,21,5
prog0213.ml,500,1.9244909286499023e-2,1,U,22,5
prog0214.ml,500,1.71051025390625e-2,1,U,22,5
prog0215.ml,500,2.483201026916504e-2,1,U,34,7
prog0216.ml,500,6.103801727294922e-2,1,U,34,7
prog0217.ml,500,4.951119422912598e-2,1,U,34,7
prog0218.ml,500,3.786897659301758e-2,1,U,34,7
prog0219.ml,500,60.003175020217896,1,T,0,0
prog0220.ml,2500,60.00472712516785,1,T,0,0
prog0221.ml,500,7.870912551879883e-3,1,U,15,3
prog0222.ml,500,6.370902061462402e-2,1,U,73,24
prog0223.ml,500,7.97719955444336e-2,1,U,62,20
prog0224.ml,2500,60.005123138427734,1,T,0,0
prog0225.ml,500,6.840229034423828e-4,1,U,3,1
prog0226.ml,500,8.640289306640625e-4,1,U,2,1
prog0227.ml,500,8.571147918701172e-4,1,U,2,2
prog0229.ml,500,1.0530948638916016e-3,1,U,2,2
prog0230.ml,500,1.0080337524414063e-3,1,U,2,2
prog0231.ml,500,1.5659332275390625e-3,1,U,2,2
prog0232.ml,500,3.734187126159668,1000,S,0,0
prog0233.ml,500,2.1200058460235596,1000,S,0,0
prog0234.ml,500,11.919358015060425,1000,S,0,0
prog0235.ml,500,6.627082824707031e-3,1,U,10,3
prog0236.ml,500,1.5822172164916992e-2,2,U,14,3
prog0237.ml,500,0.19960379600524902,1,U,35,6
prog0238.ml,500,3.85439395904541e-2,1,U,35,6
prog0239.ml,500,3.5130977630615234e-2,1,U,35,6
prog0240.ml,500,4.4120073318481445e-2,3,U,13,2
prog0241.ml,500,16.35902190208435,249,U,31,7
prog0242.ml,500,0.20270800590515137,1,U,57,12
prog0243.ml,500,3.2300949096679688e-3,1,U,3,1
prog0244.ml,500,3.765106201171875e-2,1,U,55,11
prog0245.ml,500,5.672407150268555e-2,1,U,54,11
prog0246.ml,500,7.328987121582031e-3,1,U,3,1
prog0247.ml,500,8.961319923400879e-2,1,U,54,11
prog0248.ml,500,4.822993278503418e-2,1,U,2,1
prog0249.ml,500,5.761003494262695e-2,1,U,2,1
prog0250.ml,500,0.1981830596923828,1,U,52,11
prog0251.ml,500,9.824895858764648e-2,1,U,47,10
prog0252.ml,500,0.11422014236450195,1,U,52,11
prog0253.ml,500,7.961511611938477e-2,1,U,50,11
prog0254.ml,500,8.064103126525879e-2,1,U,53,11
prog0255.ml,500,0.10297012329101563,1,U,52,11
prog0256.ml,500,6.76109790802002e-2,1,U,53,11
prog0257.ml,500,9.193205833435059e-2,1,U,52,11
prog0258.ml,500,0.2677340507507324,1,U,53,11
prog0259.ml,500,0.11084294319152832,1,U,42,9
prog0260.ml,500,0.10713696479797363,1,U,50,11
prog0261.ml,500,0.22223877906799316,1,U,53,11
prog0262.ml,500,0.10245299339294434,1,U,52,11
prog0263.ml,500,9.089779853820801e-2,1,U,52,11
prog0264.ml,500,0.10564684867858887,1,U,52,11
prog0265.ml,500,9.462499618530273e-2,1,U,52,11
prog0266.ml,500,9.177613258361816e-2,1,U,60,13
prog0267.ml,500,6.139802932739258e-2,1,U,52,11
prog0268.ml,500,9.966516494750977e-2,1,U,52,11
prog0269.ml,500,7.090520858764648e-2,1,U,50,11
prog0270.ml,500,9.35971736907959e-2,1,U,53,11
prog0271.ml,500,5.454611778259277e-2,1,U,38,9
prog0272.ml,500,0.10197114944458008,1,U,6,2
prog0273.ml,500,4.5517921447753906e-2,1,U,2,1
prog0274.ml,500,5.7379961013793945e-2,1,S,0,0
prog0275.ml,500,2.212047576904297e-3,1,B,1,1
prog0276.ml,500,3.686189651489258e-3,1,U,4,2
prog0277.ml,500,4.9568750858306885,480,U,39,10
prog0278.ml,500,3.6869049072265625e-3,1,U,3,2
prog0279.ml,500,5.234789848327637e-2,1,U,41,13
prog0280.ml,500,2.03704833984375e-3,1,U,4,2
prog0281.ml,500,0.13936305046081543,15,U,13,3
prog0282.ml,500,2.5298595428466797e-3,1,U,1,1
prog0283.ml,500,3.9598941802978516e-3,1,U,1,1
prog0284.ml,500,5.769968032836914e-3,1,U,10,3
prog0285.ml,500,8.115053176879883e-3,1,U,9,3
prog0286.ml,500,5.686044692993164e-3,1,U,10,3
prog0287.ml,500,4.69517707824707e-3,1,U,7,2
prog0288.ml,500,2.3920536041259766e-3,1,U,1,1
prog0289.ml,500,1.1610984802246094e-2,1,U,19,6
prog0290.ml,500,1.3921976089477539e-2,1,U,18,5
prog0291.ml,500,4.938992023468018,121,U,71,19
prog0292.ml,500,5.4986000061035156e-2,1,U,38,11
prog0293.ml,500,1.986980438232422e-3,1,U,1,1
prog0294.ml,500,1.9252300262451172e-3,1,U,1,1
prog0295.ml,500,3.180980682373047e-3,1,U,6,3
prog0296.ml,500,1.0099172592163086e-2,2,U,15,3
prog0297.ml,500,1.3924837112426758e-2,3,U,18,3
prog0298.ml,500,7.669305801391602e-2,15,U,15,3
prog0299.ml,500,3.676891326904297e-3,1,U,9,3
prog0300.ml,500,4.221916198730469e-3,1,U,6,2
prog0301.ml,500,5.302906036376953e-3,2,B,4,2
prog0302.ml,500,1.1249780654907227e-2,2,B,4,2
prog0303.ml,500,1.6450881958007813e-3,1,U,1,1
prog0304.ml,500,1.1680126190185547e-3,1,U,1,1
prog0305.ml,500,1.977205276489258e-3,1,U,1,1
prog0306.ml,500,4.454914808273315,1000,S,0,0
prog0307.ml,500,3.3842098712921143,1000,S,0,0
prog0308.ml,500,0.1603701114654541,33,U,40,10
prog0309.ml,500,1.110076904296875e-3,1,U,1,1
prog0310.ml,500,1.0271072387695313e-3,1,U,1,1
prog0311.ml,500,4.389047622680664e-3,1,U,6,2
prog0313.ml,500,3.332853317260742e-3,1,U,6,3
prog0314.ml,500,1.1918067932128906e-2,1,U,10,3
prog0315.ml,500,2.9011011123657227e-2,1,U,34,12
prog0316.ml,500,1.1569976806640625e-2,1,U,22,8
prog0317.ml,500,8.73708724975586e-3,1,U,17,6
prog0318.ml,500,1.0930061340332031e-2,4,U,7,2
prog0319.ml,500,0.27605199813842773,5,U,79,15
prog0320.ml,500,8.22751522064209e-2,3,U,53,11
prog0321.ml,500,0.17126893997192383,4,U,53,11
prog0322.ml,500,5.764007568359375e-3,1,U,8,4
prog0323.ml,500,9.557962417602539e-3,1,U,22,8
prog0324.ml,500,2.3447036743164063e-2,1,U,44,14
prog0325.ml,500,2.62908935546875e-2,1,U,20,8
prog0326.ml,500,1.845097541809082e-2,1,U,30,10
prog0327.ml,1000,60.00093102455139,1,T,0,0
prog0328.ml,500,3.4379959106445313e-3,1,U,5,3
prog0329.ml,500,1.4065027236938477e-2,1,U,22,8
prog0330.ml,500,2.8040409088134766e-3,1,U,5,3
prog0332.ml,500,1.3076066970825195e-2,1,U,18,7
prog0333.ml,500,9.881973266601563e-3,1,U,18,7
prog0334.ml,500,1.0196208953857422e-2,1,U,14,5
prog0335.ml,500,4.79280948638916e-2,2,U,35,9
prog0336.ml,500,1.7349720001220703e-3,1,B,1,1
prog0337.ml,500,7.100105285644531e-3,1,B,11,3
prog0338.ml,500,9.84501838684082e-3,2,U,15,3
prog0339.ml,500,1.82650089263916e-2,3,U,12,3
prog0340.ml,500,1.0960102081298828e-3,1,U,1,1
prog0341.ml,500,2.1500587463378906e-3,1,U,4,2
prog0342.ml,500,2.301931381225586e-3,1,U,4,2
prog0343.ml,500,5.6672096252441406e-2,1,S,0,0
prog0344.ml,500,60.00396800041199,1,T,0,0
prog0345.ml,500,9.623050689697266e-3,1,U,6,2
prog0346.ml,500,5.357027053833008e-3,1,U,6,2
prog0348.ml,500,4.59599494934082e-3,1,U,6,2
