Program,Time (sec.)
0,11.512825092002458
1,29.44612233799853
2,7.1819175880009425
6,0.8007776869999361
7,48.752996383998834
9,9.651775298996654
10,1.8074129349988652
17,1.1072149899991928
23,0.4826805519987829
24,0.7566171420039609
28,4.149227668000094
29,0.6280130410013953
30,0.5850715760025196
31,0.648351662006462
32,2.793761660999735
33,4.697974934002559
34,3.789288731000852
35,1.08632582899736
36,1.65566980499716
37,1.267895883996971
38,10.575914075998298
39,21.77202327100531
40,15.62027772199508
41,28.24560261300212
42,0.5303763339979923
43,1.694688061994384
44,0.5516260500007775
45,7.506007485004375
46,5.961393293997389
49,3.532286394998664
51,1.710088847001316
52,0.6063413960000616
53,0.8441992520019994
54,0.824025594003615
55,0.8386166899945238
56,1.2231158439972205
57,0.7395642190022045
58,0.7265393710040371
59,0.7245652330020675
60,1.9993153880059253
61,0.6358134139954927
62,0.8585778799970285
63,1.9627636570003233
64,0.8576968820052571
65,3.709910552999645
66,6.000141887001519
67,14.601207717998477
69,1.6321615709966864
71,7.712285706998955
74,29.193424735996814
76,7.112842471993645
77,3.235340758001257
79,3.2338762400031555
80,3.3928480739996303
81,5.036317416001111
82,1.4626259799988475
85,1.868354744001408
86,0.9903451520003728
88,2.4142554740028572
89,6.256006669995259
90,3.2362030840013176
100,0.49806376000196906
101,2.354054080999049
102,0.6917370509981993
103,1.3103698159975465
104,0.8548541170021053
105,1.204523884000082
106,6.90675151799951
107,0.946634088002611
108,1.2943745649972698
109,5.433325455000158
111,0.5397452909965068
112,0.5244141000002855
113,0.5912761149957078
114,3.8806630359977135
117,1.4170331710047321
119,1.4196603130039875
120,1.4143788950023009
123,2.908730891002051
124,1.1188894079969032
125,2.206614795999485
127,0.7796186089981347
128,1.1869457399952807
137,62.557329928997206
140,86.52128570999776
142,42.97019225599797
143,58.93863295399933
144,13.088338846006081
145,13.99630098399939
146,6.162601725001878
147,5.0261336250041495
156,3.956842741004948
158,1.4408293900050921
159,0.5126937060049386
160,1.5859806070002378
161,1.3405051329973503
162,1.0265509309974732
163,0.7267426949983928
164,12.508270707003248
165,2.686291808997339
167,0.9417055679950863
170,0.5612982160018873
171,0.5534474059968488
172,0.754138985001191
173,0.6662180710045504
174,0.8500476690023788
175,1.2272612240049057
176,0.8962824639966129
177,1.7910045919998083
