Program,Time (sec.)
0,44.101802134000536
1,89.98499833000005
2,14.190177533000679
6,3.7485911439998745
9,37.70193279900013
10,9.897676222000882
17,1.0286412310006199
23,0.8396906839998337
24,0.9650378179994732
28,10.247943115999988
29,3.1879664199996114
30,1.5588609800006452
31,3.3784941760004585
32,10.46889598999951
33,13.202507751999292
34,11.63768729899948
35,2.778204033000293
36,4.487494915000752
37,2.704530763000548
38,31.514673073000267
39,74.41332203300044
42,1.967277908000142
43,5.645084953000151
44,1.9741066770002362
45,13.82298345199979
46,8.817485927000234
49,6.631270480000239
51,2.5611778980000963
52,0.45894010000029084
53,0.5032209789997069
54,0.49178493400086154
55,0.48107159200026217
56,0.7614874560003955
57,0.6118309469993619
58,0.6314282109997293
59,0.6259401930001331
60,0.9013863950003724
61,0.481844404000185
62,0.49295482599973184
63,0.9022150239998155
64,0.48949441500008106
65,28.760801432000335
66,30.867425588000515
67,9.506387147000169
69,4.761817564000012
71,3.6979341599999316
74,15.301037741999608
76,6.613369142999545
77,3.095340192000549
79,19.177122801000223
80,22.712286502000097
81,41.45835651200014
82,1.2018248180002047
85,4.594971843000167
86,2.7975254620005217
88,6.631176912000228
89,16.31841884200003
90,12.488302830000066
100,1.3294716880000124
101,4.832191899999998
102,1.7894184850001693
103,2.5259084029994483
104,6.598190225000508
105,2.8019801990003543
106,22.49769248499979
107,4.615051878999111
108,5.1405007260000275
109,32.75880731600046
111,1.5900948869993954
112,1.597344938999413
113,3.0797032390000822
114,11.693662098999994
117,7.641046652999648
119,3.994423008999547
120,2.998464889999923
123,6.880392179999944
124,4.782381029999669
125,4.424544336000508
127,4.20966051600044
128,3.978391141999964
137,81.95410583400007
138,84.17867092599954
139,79.02860146900002
142,41.018906373999926
143,56.741609658000016
144,12.771735218000686
145,12.956403960999523
146,16.337919450999834
147,5.971080637000341
156,24.46040989500034
158,4.796558190999349
159,1.5323639850012114
