Program,Time (sec.)
0,13.793218876000537
1,31.594056724999973
2,6.826733894999052
6,0.7943358000011358
7,52.66177283700017
9,9.498536928000249
10,1.794979145999605
17,1.0618448599998374
23,0.5676692669985641
24,0.7392937570002687
28,3.4152857280005264
29,0.5741857810007787
30,0.5460405769990757
31,0.6072639769990928
32,2.5803177050001977
33,4.793083124000987
34,4.0067279180002515
35,1.0757914030000393
36,1.6949784280004678
37,1.186431795000317
38,12.061481461001677
39,21.561382712001432
40,14.72407286500129
41,27.37605910899947
42,0.49815700100043614
43,2.062505152000085
44,0.521957475999443
45,6.431578636000268
46,6.243379535999338
49,5.294346277998557
51,2.225181429999793
52,0.5728336770007445
53,0.7674333530012518
54,0.7987020619984833
55,0.7651891069999692
56,1.1753349950013217
57,0.6986617290003778
58,0.7363764570000058
59,0.7429048300000431
60,1.7180080590005673
61,0.6143526579999161
62,0.7677898170004482
63,1.7162319409999327
64,0.7617807959995844
65,3.056812707000063
66,4.122512986999936
67,11.32082814000023
69,1.1713145529993199
71,6.356782946999374
74,27.597244773000057
76,4.640949481999996
77,2.2465855139998894
79,3.291113608998785
80,3.092161793998457
81,4.205767661000209
82,1.5352717249988928
85,1.7975023509989114
86,0.9036774489995878
88,2.2854973649991734
89,5.150092263000261
90,2.222476552999069
100,0.46434866999879887
101,2.011244531999182
102,0.6319600820006599
103,1.1727164389994869
104,1.1502388900007645
105,1.0365380410003127
106,6.08264593900094
107,0.9402205700007471
108,1.406063374999576
109,5.315426123999714
111,0.6026131430007808
112,0.5967585620001046
113,0.7943914520001272
114,3.3193746699998883
117,2.259590110999852
119,1.1331288709989167
120,1.3308663829993748
123,2.7341504720006924
124,1.0861139179996826
125,2.4158937920001335
127,0.7253601080010412
128,1.0224602430007508
134,76.80905062999955
137,49.11664904600002
138,80.85181781500069
140,72.6691889119993
142,35.38618089500051
143,46.06492574799995
144,8.472927227998298
145,13.5093651520001
146,8.008390568000323
147,3.493391257999974
156,4.8710746809993
158,1.35476269100036
159,0.48427494399948046
