SourceSpan,P-1,P-2,P-3,P-4,P-5,Actual
"(6,33)-(6,49)",1,9,19,8,33,42
"(6,61)-(6,62)",1,2,33,8,17,1
"(6,64)-(6,68)",1,2,8,33,9,1
